date,open,high,low,close,volume
1679664600,391.84,395.84,389.40,395.75,107682400
1679923800,398.12,398.92,395.56,396.49,74010400
1680010200,395.77,396.49,393.69,395.60,62871700
1680096600,399.93,401.60,398.68,401.35,77497900
1680183000,404.09,404.35,401.76,403.70,69840000
1680269400,404.66,409.70,404.55,409.39,112062600
1680528600,408.85,411.37,408.44,410.95,67391100
1680615000,411.62,411.92,407.24,408.67,66601500
1680701400,407.91,408.70,405.88,407.60,65200200
1680787800,406.77,409.48,405.68,409.19,63743300
1681133400,406.61,409.69,405.97,409.61,63681000
1681219800,410.26,411.18,408.92,409.72,59297900
1681306200,411.87,412.17,407.44,408.05,86420400
1681392600,409.18,413.84,407.99,413.47,85814800
1681479000,412.81,415.09,410.06,412.46,78161500
1681738200,412.37,413.96,411.09,413.94,66436400
1681824600,415.58,415.72,412.78,414.21,63560000
1681911000,412.22,415.08,412.16,414.14,55227300
1681997400,411.21,413.70,410.27,411.88,75840400
1682083800,412.19,412.68,410.17,412.20,73457400
1682343000,411.99,413.07,410.60,412.63,64332100
1682429400,410.58,411.16,406.02,406.08,97766700
1682515800,406.72,407.84,403.78,404.36,80447000
1682602200,407.00,412.69,406.74,412.41,92968400
1682688600,411.49,415.94,411.43,415.93,89433100
1682947800,415.47,417.62,415.27,415.51,62122300
1683034200,414.77,414.82,407.82,410.84,103998500
1683120600,411.36,413.87,407.77,408.02,91531800
1683207000,406.93,407.27,403.74,405.13,94901900
1683293400,408.91,413.72,408.64,412.63,87891800
1683552600,412.97,413.24,411.28,412.74,50046800
1683639000,411.13,412.09,410.69,410.93,49220100
1683725400,413.88,414.54,408.87,412.85,96142900
1683811800,411.95,412.43,409.97,412.13,70157100
1683898200,413.42,413.64,409.07,411.59,70481500
1684157400,412.22,413.43,410.23,413.01,54289400
1684243800,411.86,412.82,410.24,410.25,57705500
1684330200,412.35,415.86,410.64,415.23,87287000
1684416600,414.90,419.67,414.67,419.23,97177200
1684503000,420.17,420.72,417.35,418.62,103793300
1684762200,418.64,420.39,417.35,418.79,60745400
1684848600,417.08,418.72,413.68,414.09,86383500
1684935000,412.42,412.82,409.88,411.09,89213700
1685021400,414.74,416.16,412.41,414.65,90961600
1685107800,415.33,420.77,415.25,420.02,93830000
1685453400,422.03,422.58,418.74,420.18,72216000
1685539800,418.28,419.22,416.22,417.85,110811800
1685626200,418.09,422.92,416.79,421.82,88865000
1685712600,424.50,428.74,423.95,427.92,91426200
1685971800,428.28,429.62,426.37,427.10,65460200
1686058200,426.67,428.58,425.99,428.03,64022200
1686144600,428.44,429.62,426.11,426.55,85373300
1686231000,426.62,429.60,425.82,429.13,61952800
1686317400,429.96,431.99,428.87,429.90,85742800
1686576600,430.92,433.88,430.17,433.80,76104300
1686663000,435.32,437.33,434.63,436.66,95899700
1686749400,437.01,439.06,433.59,437.18,100612100
1686835800,436.33,443.90,436.23,442.60,110303100
1686922200,443.02,443.61,438.97,439.46,114165800
1687267800,437.45,438.37,435.03,437.18,76160400
1687354200,436.16,436.99,434.33,434.94,76982300
1687440600,433.95,436.62,433.60,436.51,70637200
1687527000,432.93,435.06,432.47,433.21,92074500
1687786200,432.62,434.61,431.19,431.44,72823600
1687872600,432.35,436.81,431.88,436.17,72813700
1687959000,435.05,437.44,434.41,436.39,75636000
1688045400,435.96,438.28,435.54,438.11,67882300
1688131800,441.44,444.30,441.11,443.28,104964000
1688391000,442.92,444.08,442.63,443.79,32793400
1688563800,441.91,443.89,441.90,443.13,58418400
1688650200,439.42,440.10,437.06,439.66,80658300
1688736600,438.63,442.64,438.30,438.55,86134200
1688995800,438.18,439.84,437.59,439.66,62443500
1689082200,440.45,442.97,439.44,442.46,64463800
1689168600,446.39,447.48,444.91,446.02,91924500
1689255000,447.90,450.38,447.45,449.56,72425200
1689341400,450.48,451.36,448.49,449.28,69815800
1689600600,449.13,451.93,449.08,450.84,52680200
1689687000,450.50,454.86,450.05,454.19,80668200
1689773400,455.01,456.43,454.11,455.20,65891700
1689859800,454.17,455.10,451.44,452.18,70591600
1689946200,453.96,454.17,452.17,452.18,71275600
1690205400,453.37,455.04,452.30,454.20,54023400
1690291800,453.92,456.74,453.87,455.44,55191200
1690378200,454.47,456.99,453.38,455.51,71052900
