date,open,high,low,close,volume
1666272600,269.58,274.84,267.92,269.11,60605500
1666359000,267.98,275.97,266.82,275.42,77897700
1666618200,275.69,279.40,271.97,278.45,63963600
1666704600,279.41,284.60,277.90,284.21,59014500
1666791000,278.46,283.98,277.43,277.93,63492400
1666877400,276.79,278.28,272.34,272.87,57760300
1666963800,272.23,281.70,272.06,281.22,62651300
1667223000,278.92,279.76,275.99,277.95,47742000
1667309400,281.50,282.07,274.74,275.11,45895900
1667395800,275.08,278.21,265.61,265.68,79803100
1667482200,263.01,264.50,260.10,260.49,70038900
1667568600,265.53,266.61,259.08,264.68,78313200
1667831400,265.75,268.14,263.57,267.59,47333800
1667917800,269.14,272.85,265.52,269.54,63213800
1668004200,267.76,268.56,263.03,263.32,64862100
1668090600,276.01,283.05,273.85,282.75,99256700
1668177000,282.56,288.64,281.19,287.96,66961800
1668436200,285.86,289.21,284.44,285.44,55290700
1668522600,292.21,293.26,285.97,289.39,73985400
1668609000,287.39,289.48,284.60,285.44,48859800
1668695400,280.88,286.32,280.72,284.81,55462100
1668781800,287.89,287.99,282.32,284.82,53588600
1669041000,283.40,284.58,281.04,281.89,40083500
1669127400,282.64,286.11,280.46,285.95,41873400
1669213800,285.97,289.46,285.79,288.82,46390000
1669386600,287.19,287.91,286.42,286.92,15498800
1669645800,284.90,286.96,281.76,282.71,38714200
1669732200,282.94,283.35,279.17,280.57,35618900
1669818600,280.84,293.47,279.97,293.36,74718100
1669905000,293.69,295.75,290.88,293.72,51547300
1669991400,288.54,293.45,288.36,292.55,53583200
1670250600,290.38,291.68,286.15,287.64,41482100
1670337000,287.48,287.62,280.26,281.68,53937600
1670423400,280.47,282.57,278.78,280.53,45614300
1670509800,281.91,284.84,279.79,283.85,42594900
1670596200,282.81,285.64,281.59,282.04,47860500
1670855400,282.22,285.64,281.16,285.58,35732500
1670941800,296.65,296.88,285.91,288.65,80667700
1671028200,288.05,291.41,283.19,286.51,64984400
1671114600,282.33,283.01,275.67,276.89,60554100
1671201000,276.20,277.77,272.61,274.25,68300400
1671460200,273.87,273.96,268.49,269.75,44167900
1671546600,268.56,271.32,266.95,269.54,51064200
1671633000,270.60,274.78,269.74,273.45,46394700
1671719400,270.38,270.51,262.46,266.76,60278400
1671805800,265.47,268.04,263.53,267.36,39373600
1672151400,266.74,266.85,263.03,263.58,38009000
